"SerialCode","dt_utc","degC","rh","dt_pdt","date_pdt","hr_pdt","eve_morn","intervalID"
"FS-322",2020-07-11 13:19:40,16.65,76.76,2020-07-11 06:19:40,2020-07-11,6,"am",3
"FS-322",2020-07-12 09:11:49,21.81,48.97,2020-07-12 02:11:49,2020-07-12,2,"am",3
"FS-322",2020-07-12 09:14:35,21.83,48.81,2020-07-12 02:14:35,2020-07-12,2,"am",3
"FS-322",2020-07-12 13:23:13,20.16,60.36,2020-07-12 06:23:13,2020-07-12,6,"am",3
"FS-322",2020-07-13 13:23:09,18.81,63.46,2020-07-13 06:23:09,2020-07-13,6,"am",3
"FS-322",2020-07-14 13:29:45,17.42,72.12,2020-07-14 06:29:45,2020-07-14,6,"am",3
"FS-322",2020-07-14 13:34:50,18.25,69.58,2020-07-14 06:34:50,2020-07-14,6,"am",3
"FS-322",2020-07-16 09:58:51,18.7,76.99,2020-07-16 02:58:51,2020-07-16,2,"am",3
"FS-322",2020-07-16 13:34:30,19.03,80.35,2020-07-16 06:34:30,2020-07-16,6,"am",3
"FS-322",2020-07-17 13:32:22,18.99,75.89,2020-07-17 06:32:22,2020-07-17,6,"am",4
"FS-322",2020-07-18 13:22:59,16.09,85.72,2020-07-18 06:22:59,2020-07-18,6,"am",4
"FS-322",2020-07-19 13:37:29,18.84,78.08,2020-07-19 06:37:29,2020-07-19,6,"am",4
"FS-322",2020-07-19 13:51:25,21.66,69.12,2020-07-19 06:51:25,2020-07-19,6,"am",4
"FS-322",2020-07-20 12:26:20,16.95,86.69,2020-07-20 05:26:20,2020-07-20,5,"am",4
"FS-322",2020-07-20 13:32:24,18.02,83.5,2020-07-20 06:32:24,2020-07-20,6,"am",4
"FS-322",2020-07-21 13:30:51,16.64,83.07,2020-07-21 06:30:51,2020-07-21,6,"am",4
"FS-322",2020-07-21 13:36:10,17.29,80.48,2020-07-21 06:36:10,2020-07-21,6,"am",4
"FS-322",2020-07-22 08:27:04,17.45,81.38,2020-07-22 01:27:04,2020-07-22,1,"am",4
"FS-322",2020-07-22 13:32:27,15.89,83.1,2020-07-22 06:32:27,2020-07-22,6,"am",4
"FS-322",2020-07-22 13:40:12,17.49,77.02,2020-07-22 06:40:12,2020-07-22,6,"am",4
"FS-322",2020-07-23 13:29:05,14.89,90.93,2020-07-23 06:29:05,2020-07-23,6,"am",5
"FS-322",2020-07-23 13:35:49,16,86.29,2020-07-23 06:35:49,2020-07-23,6,"am",5
"FS-322",2020-07-23 13:49:52,19.34,74.03,2020-07-23 06:49:52,2020-07-23,6,"am",5
"FS-322",2020-07-23 13:52:28,19.79,71.17,2020-07-23 06:52:28,2020-07-23,6,"am",5
"FS-322",2020-07-24 13:24:15,15.54,86.53,2020-07-24 06:24:15,2020-07-24,6,"am",5
"FS-322",2020-07-24 13:35:37,17.19,80.58,2020-07-24 06:35:37,2020-07-24,6,"am",5
"FS-322",2020-07-24 13:38:20,17.76,78.23,2020-07-24 06:38:20,2020-07-24,6,"am",5
"FS-322",2020-07-25 13:39:30,18.19,76.51,2020-07-25 06:39:30,2020-07-25,6,"am",5
"FS-322",2020-07-25 13:49:37,20.44,70.26,2020-07-25 06:49:37,2020-07-25,6,"am",5
"FS-322",2020-07-27 11:39:15,16.71,85.38,2020-07-27 04:39:15,2020-07-27,4,"am",5
"FS-322",2020-07-27 13:39:23,18.69,72.61,2020-07-27 06:39:23,2020-07-27,6,"am",5
"FS-322",2020-07-28 13:35:10,17.43,79.91,2020-07-28 06:35:10,2020-07-28,6,"am",5
"FS-322",2020-07-28 13:38:17,17.88,78.09,2020-07-28 06:38:17,2020-07-28,6,"am",5
"FS-322",2020-07-28 13:41:41,18.6,76.65,2020-07-28 06:41:41,2020-07-28,6,"am",5
"FS-322",2020-07-28 13:52:42,20.94,70.24,2020-07-28 06:52:42,2020-07-28,6,"am",5
"FS-322",2020-07-28 13:57:15,22,67.47,2020-07-28 06:57:15,2020-07-28,6,"am",5
"FS-322",2020-07-29 13:21:55,16.27,85.03,2020-07-29 06:21:55,2020-07-29,6,"am",5
"FS-322",2020-07-29 13:31:57,17.3,81.96,2020-07-29 06:31:57,2020-07-29,6,"am",5
"FS-322",2020-07-29 13:37:39,18.25,79.59,2020-07-29 06:37:39,2020-07-29,6,"am",5
"FS-322",2020-07-29 13:41:29,19,77.18,2020-07-29 06:41:29,2020-07-29,6,"am",5
"FS-322",2020-07-29 13:48:44,20.5,72.39,2020-07-29 06:48:44,2020-07-29,6,"am",5
"FS-322",2020-07-30 13:29:41,15.94,84.12,2020-07-30 06:29:41,2020-07-30,6,"am",6
"FS-322",2020-07-30 13:37:15,17.45,78.79,2020-07-30 06:37:15,2020-07-30,6,"am",6
"FS-322",2020-07-30 13:41:44,18.6,74.35,2020-07-30 06:41:44,2020-07-30,6,"am",6
"FS-322",2020-07-30 13:46:55,19.75,70.07,2020-07-30 06:46:55,2020-07-30,6,"am",6
"FS-322",2020-07-31 13:29:10,16.08,86.77,2020-07-31 06:29:10,2020-07-31,6,"am",6
"FS-322",2020-07-31 13:42:07,18.48,79.37,2020-07-31 06:42:07,2020-07-31,6,"am",6
"FS-322",2020-07-31 13:44:42,19.07,77.06,2020-07-31 06:44:42,2020-07-31,6,"am",6
"FS-322",2020-08-01 13:22:17,14.99,80.94,2020-08-01 06:22:17,2020-08-01,6,"am",6
"FS-322",2020-08-01 13:37:57,16.88,76.39,2020-08-01 06:37:57,2020-08-01,6,"am",6
"FS-322",2020-08-02 13:22:47,14.7,83.35,2020-08-02 06:22:47,2020-08-02,6,"am",6
"FS-322",2020-08-03 13:25:44,14.73,72.08,2020-08-03 06:25:44,2020-08-03,6,"am",6
"FS-322",2020-08-03 13:29:45,15.66,73.07,2020-08-03 06:29:45,2020-08-03,6,"am",6
"FS-322",2020-08-03 13:34:46,16.53,73.16,2020-08-03 06:34:46,2020-08-03,6,"am",6
"FS-322",2020-08-03 13:42:57,18.09,65.26,2020-08-03 06:42:57,2020-08-03,6,"am",6
"FS-322",2020-08-03 13:46:07,19.1,63.47,2020-08-03 06:46:07,2020-08-03,6,"am",6
"FS-322",2020-08-03 13:51:53,20.46,59.67,2020-08-03 06:51:53,2020-08-03,6,"am",6
"FS-322",2020-08-04 13:37:55,15.28,84.33,2020-08-04 06:37:55,2020-08-04,6,"am",6
"FS-322",2020-08-04 13:44:20,16.43,80.25,2020-08-04 06:44:20,2020-08-04,6,"am",6
"FS-322",2020-08-04 13:46:41,16.98,78.99,2020-08-04 06:46:41,2020-08-04,6,"am",6
"FS-322",2020-08-04 13:48:44,17.49,77.25,2020-08-04 06:48:44,2020-08-04,6,"am",6
"FS-322",2020-08-04 13:56:16,19.32,70.33,2020-08-04 06:56:16,2020-08-04,6,"am",6
"FS-322",2020-08-05 13:28:52,13.23,87.74,2020-08-05 06:28:52,2020-08-05,6,"am",6
"FS-322",2020-08-05 13:37:38,14.79,82.57,2020-08-05 06:37:38,2020-08-05,6,"am",6
"FS-322",2020-08-05 13:43:39,16.44,77.22,2020-08-05 06:43:39,2020-08-05,6,"am",6
"FS-322",2020-08-05 13:51:59,18.73,69.31,2020-08-05 06:51:59,2020-08-05,6,"am",6
"FS-322",2020-08-05 13:58:38,20.23,64.36,2020-08-05 06:58:38,2020-08-05,6,"am",6
"FS-322",2020-08-06 13:44:16,14.08,86.96,2020-08-06 06:44:16,2020-08-06,6,"am",6
"FS-322",2020-08-06 13:46:28,14.63,85.64,2020-08-06 06:46:28,2020-08-06,6,"am",6
"FS-322",2020-08-06 13:50:08,15.66,83,2020-08-06 06:50:08,2020-08-06,6,"am",6
"FS-322",2020-08-06 13:55:28,17.14,76.42,2020-08-06 06:55:28,2020-08-06,6,"am",6
"FS-322",2020-08-07 13:32:15,15.11,92.18,2020-08-07 06:32:15,2020-08-07,6,"am",7
"FS-322",2020-08-07 13:36:04,15.62,90.55,2020-08-07 06:36:04,2020-08-07,6,"am",7
"FS-322",2020-08-07 13:43:57,16.94,86.72,2020-08-07 06:43:57,2020-08-07,6,"am",7
"FS-322",2020-08-07 13:47:00,17.62,83.76,2020-08-07 06:47:00,2020-08-07,6,"am",7
"FS-322",2020-08-07 13:51:04,18.62,79.54,2020-08-07 06:51:04,2020-08-07,6,"am",7
"FS-322",2020-08-08 13:35:17,15.93,87.83,2020-08-08 06:35:17,2020-08-08,6,"am",7
"FS-322",2020-08-08 13:44:36,17.69,81.45,2020-08-08 06:44:36,2020-08-08,6,"am",7
"FS-322",2020-08-08 13:48:43,18.76,76.53,2020-08-08 06:48:43,2020-08-08,6,"am",7
"FS-322",2020-08-08 13:59:06,21.08,67.36,2020-08-08 06:59:06,2020-08-08,6,"am",7
"FS-322",2020-08-09 07:40:53,18.62,85.61,2020-08-09 00:40:53,2020-08-09,0,"am",7
"FS-322",2020-08-09 13:50:57,19.4,73.12,2020-08-09 06:50:57,2020-08-09,6,"am",7
"FS-322",2020-08-10 13:36:30,17.02,87.22,2020-08-10 06:36:30,2020-08-10,6,"am",7
"FS-322",2020-08-10 13:38:44,17.32,86.49,2020-08-10 06:38:44,2020-08-10,6,"am",7
"FS-322",2020-08-10 13:44:46,18.19,83.29,2020-08-10 06:44:46,2020-08-10,6,"am",7
"FS-322",2020-08-11 13:42:19,17.78,86.85,2020-08-11 06:42:19,2020-08-11,6,"am",7
"FS-322",2020-08-12 10:54:57,17.35,93.29,2020-08-12 03:54:57,2020-08-12,3,"am",7
"FS-322",2020-08-12 13:44:35,18.15,86.24,2020-08-12 06:44:35,2020-08-12,6,"am",7
"FS-322",2020-08-12 13:50:39,19.62,80.85,2020-08-12 06:50:39,2020-08-12,6,"am",7
"FS-322",2020-08-13 07:09:46,20.75,80.23,2020-08-13 00:09:46,2020-08-13,0,"am",8
"FS-322",2020-08-13 10:43:59,18.07,79.94,2020-08-13 03:43:59,2020-08-13,3,"am",8
"FS-322",2020-08-13 10:46:53,18,81.7,2020-08-13 03:46:53,2020-08-13,3,"am",8
"FS-322",2020-08-15 12:42:28,19.19,81.17,2020-08-15 05:42:28,2020-08-15,5,"am",8
"FS-322",2020-08-15 13:31:00,19.21,81.15,2020-08-15 06:31:00,2020-08-15,6,"am",8
"FS-322",2020-08-15 13:56:26,22.45,75.89,2020-08-15 06:56:26,2020-08-15,6,"am",8
"FS-322",2020-08-17 13:57:23,22.48,79.96,2020-08-17 06:57:23,2020-08-17,6,"am",8
"FS-322",2020-08-18 10:05:59,21.12,88.8,2020-08-18 03:05:59,2020-08-18,3,"am",8
"FS-322",2020-08-19 08:02:38,22.58,88.91,2020-08-19 01:02:38,2020-08-19,1,"am",8
"FS-322",2020-08-19 09:11:38,22.16,83.3,2020-08-19 02:11:38,2020-08-19,2,"am",8
"FS-322",2020-08-19 11:43:19,20.4,91.32,2020-08-19 04:43:19,2020-08-19,4,"am",8
"FS-322",2020-08-22 10:24:36,17.88,89.46,2020-08-22 03:24:36,2020-08-22,3,"am",9
"FS-322",2020-08-22 10:48:41,17.96,88.29,2020-08-22 03:48:41,2020-08-22,3,"am",9
"FS-322",2020-08-23 11:04:43,19.78,89.44,2020-08-23 04:04:43,2020-08-23,4,"am",9
"FS-322",2020-08-27 13:50:33,15.38,88.1,2020-08-27 06:50:33,2020-08-27,6,"am",9
"FS-322",2020-08-27 13:56:09,16,86.49,2020-08-27 06:56:09,2020-08-27,6,"am",9
"FS-322",2020-08-29 13:03:45,14.75,85.75,2020-08-29 06:03:45,2020-08-29,6,"am",10
"FS-322",2020-08-30 08:50:09,16.71,82.06,2020-08-30 01:50:09,2020-08-30,1,"am",10
"FS-322",2020-08-30 12:35:04,15.59,82.68,2020-08-30 05:35:04,2020-08-30,5,"am",10
"FS-322",2020-08-31 12:49:23,16.27,86.34,2020-08-31 05:49:23,2020-08-31,5,"am",10
"FS-322",2020-08-31 12:54:30,16.17,87.76,2020-08-31 05:54:30,2020-08-31,5,"am",10
"FS-322",2020-09-05 13:08:31,16.22,88.6,2020-09-05 06:08:31,2020-09-05,6,"am",11
"FS-322",2020-09-06 11:27:13,18.99,83.77,2020-09-06 04:27:13,2020-09-06,4,"am",11
"FS-322",2020-09-07 10:35:33,18.18,90.69,2020-09-07 03:35:33,2020-09-07,3,"am",11
"FS-322",2020-09-07 11:44:38,18.11,89.83,2020-09-07 04:44:38,2020-09-07,4,"am",11
"FS-322",2020-09-07 12:23:15,17.51,90.81,2020-09-07 05:23:15,2020-09-07,5,"am",11
"FS-322",2020-09-08 12:54:11,16.67,89.87,2020-09-08 05:54:11,2020-09-08,5,"am",11
"FS-396",2020-07-13 13:33:54,19.98,66.8,2020-07-13 06:33:54,2020-07-13,6,"am",3
"FS-396",2020-07-15 13:42:35,18.7,74.09,2020-07-15 06:42:35,2020-07-15,6,"am",3
"FS-396",2020-07-16 13:39:46,23.01,66.82,2020-07-16 06:39:46,2020-07-16,6,"am",3
"FS-396",2020-07-16 13:45:28,24.58,61.38,2020-07-16 06:45:28,2020-07-16,6,"am",3
"FS-396",2020-07-16 13:51:00,25.7,57.61,2020-07-16 06:51:00,2020-07-16,6,"am",3
"FS-396",2020-07-17 13:32:41,21,72.49,2020-07-17 06:32:41,2020-07-17,6,"am",4
"FS-396",2020-07-17 13:38:43,22.82,66.2,2020-07-17 06:38:43,2020-07-17,6,"am",4
