"RandStart","randCode","intervalID","PlotID","TrapType","Lure","SerialCode","StartDate","EndDate","Count"
NA,"a",1,NA,NA,NA,NA,2020-07-02,2020-07-09,NA
NA,"a",2,NA,NA,NA,NA,2020-07-09,2020-07-10,NA
2020-07-10,"b",3,11,"Farmsense","Ovibait","FS-352",2020-07-10,2020-07-16,1
2020-07-10,"b",3,12,"Farmsense","Phero","FS-354",2020-07-10,2020-07-16,1
2020-07-10,"b",3,13,"Farmsense","PPO","FS-328",2020-07-10,2020-07-16,0
2020-07-10,"b",3,21,"Farmsense","Ovibait","FS-358",2020-07-10,2020-07-16,0
2020-07-10,"b",3,24,"Farmsense","Phero","FS-353",2020-07-10,2020-07-16,7
2020-07-10,"b",3,26,"Farmsense","PPO","FS-342",2020-07-10,2020-07-16,4
2020-07-10,"b",3,31,"Farmsense","Ovibait","FS-389",2020-07-10,2020-07-16,6
2020-07-10,"b",3,32,"Farmsense","Phero","FS-396",2020-07-10,2020-07-16,5
2020-07-10,"b",3,33,"Farmsense","PPO","FS-387",2020-07-10,2020-07-16,7
2020-07-10,"b",3,44,"Farmsense","Phero","FS-330",2020-07-10,2020-07-16,18
2020-07-10,"b",3,45,"Farmsense","Ovibait","FS-360",2020-07-10,2020-07-16,34
2020-07-10,"b",3,46,"Farmsense","PPO","FS-329",2020-07-10,2020-07-16,0
2020-07-10,"b",3,52,"Farmsense","Ovibait","FS-349",2020-07-10,2020-07-16,1
2020-07-10,"b",3,53,"Farmsense","PPO","FS-333",2020-07-10,2020-07-16,11
2020-07-10,"b",3,54,"Farmsense","Phero","FS-361",2020-07-10,2020-07-16,0
2020-07-10,"b",3,61,"Farmsense","Phero","FS-390",2020-07-10,2020-07-16,13
2020-07-10,"b",3,63,"Farmsense","PPO","FS-359",2020-07-10,2020-07-16,0
2020-07-10,"b",3,66,"Farmsense","Ovibait","FS-393",2020-07-10,2020-07-16,51
2020-07-10,"b",3,74,"Farmsense","Ovibait","FS-392",2020-07-10,2020-07-16,38
