"randCode","intervalID","StartDate","EndDate"
"a",1,2020-07-02,2020-07-09
"a",2,2020-07-09,2020-07-10
"b",3,2020-07-10,2020-07-16
"b",4,2020-07-16,2020-07-22
"b",5,2020-07-22,2020-07-29
"b",6,2020-07-29,2020-08-06
"b",7,2020-08-06,2020-08-12
"b",8,2020-08-12,2020-08-20
"b",9,2020-08-20,2020-08-27
"b",10,2020-08-27,2020-09-03
"b",11,2020-09-03,2020-09-11
"b",12,2020-09-11,2020-09-16
"b",13,2020-09-16,2020-09-17
"c",14,2020-09-17,2020-09-23
"d",15,2020-10-14,2020-10-21
"d",16,2020-10-21,2020-10-28
"d",17,2020-10-28,2020-11-04
