Sensor Name, Location, Insect Type, Capture Timestamp (UTC), Temperature (C), Humidity (%), Lat, Lng
FS-322, USDA, NOW, 2020-07-09T03:50:04.6650000, 21.12, 79.78, , 
FS-322, USDA, NOW, 2020-07-10T13:12:10.0340000, 14.67, 78.21, , 
FS-322, USDA, NOW, 2020-07-11T13:19:40.1270000, 16.65, 76.76, , 
FS-322, USDA, NOW, 2020-07-12T09:11:49.0380000, 21.81, 48.97, , 
FS-322, USDA, NOW, 2020-07-12T09:14:35.2880000, 21.83, 48.81, , 
FS-322, USDA, NOW, 2020-07-12T13:23:13.1860000, 20.16, 60.36, , 
FS-322, USDA, NOW, 2020-07-13T13:23:09.8920000, 18.81, 63.46, , 
FS-322, USDA, NOW, 2020-07-14T04:38:18.6710000, 22.79, 54.44, , 
FS-322, USDA, NOW, 2020-07-14T04:40:35.1710000, 22.71, 53.86, , 
FS-322, USDA, NOW, 2020-07-14T13:29:45.3350000, 17.42, 72.12, , 
FS-322, USDA, NOW, 2020-07-14T13:34:50.1720000, 18.25, 69.58, , 
FS-322, USDA, NOW, 2020-07-15T04:18:11.4910000, 20.98, 73.35, , 
FS-322, USDA, NOW, 2020-07-16T09:58:51.1410000, 18.70, 76.99, , 
FS-322, USDA, NOW, 2020-07-16T13:34:30.8310000, 19.03, 80.35, , 
FS-322, USDA, NOW, 2020-07-17T13:32:22.8980000, 18.99, 75.89, , 
FS-322, USDA, NOW, 2020-07-18T13:22:59.8330000, 16.09, 85.72, , 
FS-322, USDA, NOW, 2020-07-19T13:37:29.7960000, 18.84, 78.08, , 
FS-322, USDA, NOW, 2020-07-19T13:51:25.4540000, 21.66, 69.12, , 
FS-322, USDA, NOW, 2020-07-20T12:26:20.3990000, 16.95, 86.69, , 
FS-322, USDA, NOW, 2020-07-20T13:32:24.9510000, 18.02, 83.50, , 
FS-322, USDA, NOW, 2020-07-21T13:30:51.3610000, 16.64, 83.07, , 
FS-322, USDA, NOW, 2020-07-21T13:36:10.8570000, 17.29, 80.48, , 
FS-322, USDA, NOW, 2020-07-22T08:27:04.3130000, 17.45, 81.38, , 
FS-322, USDA, NOW, 2020-07-22T13:32:27.7550000, 15.89, 83.10, , 
FS-322, USDA, NOW, 2020-07-22T13:40:12.9400000, 17.49, 77.02, , 
FS-322, USDA, NOW, 2020-07-23T05:10:30.3530000, 19.08, 59.17, , 
FS-322, USDA, NOW, 2020-07-23T13:29:05.0130000, 14.89, 90.93, , 
FS-322, USDA, NOW, 2020-07-23T13:35:49.5620000, 16.00, 86.29, , 
FS-322, USDA, NOW, 2020-07-23T13:49:52.2890000, 19.34, 74.03, , 
FS-322, USDA, NOW, 2020-07-23T13:52:28.3690000, 19.79, 71.17, , 
FS-322, USDA, NOW, 2020-07-24T13:24:15.5980000, 15.54, 86.53, , 
FS-322, USDA, NOW, 2020-07-24T13:35:37.9750000, 17.19, 80.58, , 
FS-322, USDA, NOW, 2020-07-24T13:38:20.7300000, 17.76, 78.23, , 
FS-322, USDA, NOW, 2020-07-25T13:39:30.5660000, 18.19, 76.51, , 
FS-322, USDA, NOW, 2020-07-25T13:49:37.8880000, 20.44, 70.26, , 
FS-322, USDA, NOW, 2020-07-27T11:39:15.5440000, 16.71, 85.38, , 
FS-322, USDA, NOW, 2020-07-27T13:39:23.8330000, 18.69, 72.61, , 
FS-322, USDA, NOW, 2020-07-28T13:35:10.4130000, 17.43, 79.91, , 
FS-322, USDA, NOW, 2020-07-28T13:38:17.4910000, 17.88, 78.09, , 
FS-322, USDA, NOW, 2020-07-28T13:41:41.6600000, 18.60, 76.65, , 
FS-322, USDA, NOW, 2020-07-28T13:52:42.0500000, 20.94, 70.24, , 
FS-322, USDA, NOW, 2020-07-28T13:57:15.9630000, 22.00, 67.47, , 
FS-322, USDA, NOW, 2020-07-29T13:21:55.4350000, 16.27, 85.03, , 
FS-322, USDA, NOW, 2020-07-29T13:31:57.6680000, 17.30, 81.96, , 
FS-322, USDA, NOW, 2020-07-29T13:37:39.3590000, 18.25, 79.59, , 
FS-322, USDA, NOW, 2020-07-29T13:41:29.0050000, 19.00, 77.18, , 
FS-322, USDA, NOW, 2020-07-29T13:48:44.4590000, 20.50, 72.39, , 
FS-322, USDA, NOW, 2020-07-30T13:29:41.3310000, 15.94, 84.12, , 
FS-322, USDA, NOW, 2020-07-30T13:37:15.4020000, 17.45, 78.79, , 
FS-322, USDA, NOW, 2020-07-30T13:41:44.2610000, 18.60, 74.35, , 
FS-322, USDA, NOW, 2020-07-30T13:46:55.9180000, 19.75, 70.07, , 
FS-322, USDA, NOW, 2020-07-31T13:29:10.2660000, 16.08, 86.77, , 
FS-322, USDA, NOW, 2020-07-31T13:42:07.0690000, 18.48, 79.37, , 
FS-322, USDA, NOW, 2020-07-31T13:44:42.6460000, 19.07, 77.06, , 
FS-322, USDA, NOW, 2020-08-01T13:22:17.5790000, 14.99, 80.94, , 
FS-322, USDA, NOW, 2020-08-01T13:37:57.5020000, 16.88, 76.39, , 
FS-322, USDA, NOW, 2020-08-02T13:22:47.1090000, 14.70, 83.35, , 
FS-322, USDA, NOW, 2020-08-03T13:25:44.2430000, 14.73, 72.08, , 
FS-322, USDA, NOW, 2020-08-03T13:29:45.7530000, 15.66, 73.07, , 
FS-322, USDA, NOW, 2020-08-03T13:34:46.7650000, 16.53, 73.16, , 
FS-322, USDA, NOW, 2020-08-03T13:42:57.0030000, 18.09, 65.26, , 
FS-322, USDA, NOW, 2020-08-03T13:46:07.5080000, 19.10, 63.47, , 
FS-322, USDA, NOW, 2020-08-03T13:51:53.7410000, 20.46, 59.67, , 
FS-322, USDA, NOW, 2020-08-04T13:37:55.7600000, 15.28, 84.33, , 
FS-322, USDA, NOW, 2020-08-04T13:44:20.8810000, 16.43, 80.25, , 
FS-322, USDA, NOW, 2020-08-04T13:46:41.9460000, 16.98, 78.99, , 
FS-322, USDA, NOW, 2020-08-04T13:48:44.6070000, 17.49, 77.25, , 
FS-322, USDA, NOW, 2020-08-04T13:56:16.2160000, 19.32, 70.33, , 
FS-322, USDA, NOW, 2020-08-05T13:28:52.2440000, 13.23, 87.74, , 
FS-322, USDA, NOW, 2020-08-05T13:37:38.2090000, 14.79, 82.57, , 
FS-322, USDA, NOW, 2020-08-05T13:43:39.0090000, 16.44, 77.22, , 
FS-322, USDA, NOW, 2020-08-05T13:51:59.2410000, 18.73, 69.31, , 
FS-322, USDA, NOW, 2020-08-05T13:58:38.3400000, 20.23, 64.36, , 
FS-322, USDA, NOW, 2020-08-06T13:44:16.5690000, 14.08, 86.96, , 
FS-322, USDA, NOW, 2020-08-06T13:46:28.0480000, 14.63, 85.64, , 
FS-322, USDA, NOW, 2020-08-06T13:50:08.9430000, 15.66, 83.00, , 
FS-322, USDA, NOW, 2020-08-06T13:55:28.6120000, 17.14, 76.42, , 
FS-322, USDA, NOW, 2020-08-07T13:32:15.1830000, 15.11, 92.18, , 
FS-322, USDA, NOW, 2020-08-07T13:36:04.8130000, 15.62, 90.55, , 
FS-322, USDA, NOW, 2020-08-07T13:43:57.7700000, 16.94, 86.72, , 
FS-322, USDA, NOW, 2020-08-07T13:47:00.7290000, 17.62, 83.76, , 
FS-322, USDA, NOW, 2020-08-07T13:51:04.0990000, 18.62, 79.54, , 
FS-322, USDA, NOW, 2020-08-08T13:35:17.9880000, 15.93, 87.83, , 
FS-322, USDA, NOW, 2020-08-08T13:44:36.1740000, 17.69, 81.45, , 
FS-322, USDA, NOW, 2020-08-08T13:48:43.2010000, 18.76, 76.53, , 
FS-322, USDA, NOW, 2020-08-08T13:59:06.9160000, 21.08, 67.36, , 
FS-322, USDA, NOW, 2020-08-09T04:55:01.2960000, 20.63, 83.63, , 
FS-322, USDA, NOW, 2020-08-09T07:40:53.6180000, 18.62, 85.61, , 
FS-322, USDA, NOW, 2020-08-09T13:50:57.2800000, 19.40, 73.12, , 
FS-322, USDA, NOW, 2020-08-10T04:09:13.8950000, 22.31, 85.13, , 
FS-322, USDA, NOW, 2020-08-10T13:36:30.5160000, 17.02, 87.22, , 
FS-322, USDA, NOW, 2020-08-10T13:38:44.4370000, 17.32, 86.49, , 
FS-322, USDA, NOW, 2020-08-10T13:44:46.4420000, 18.19, 83.29, , 
FS-322, USDA, NOW, 2020-08-11T03:39:44.1210000, 22.76, 81.54, , 
FS-322, USDA, NOW, 2020-08-11T13:42:19.8330000, 17.78, 86.85, , 
FS-322, USDA, NOW, 2020-08-12T03:34:59.9470000, 23.19, 84.19, , 
FS-322, USDA, NOW, 2020-08-12T10:54:57.3940000, 17.35, 93.29, , 
FS-322, USDA, NOW, 2020-08-12T13:44:35.6820000, 18.15, 86.24, , 
FS-322, USDA, NOW, 2020-08-12T13:50:39.2560000, 19.62, 80.85, , 
FS-322, USDA, NOW, 2020-08-13T07:09:46.6580000, 20.75, 80.23, , 
FS-322, USDA, NOW, 2020-08-13T10:43:59.3110000, 18.07, 79.94, , 
FS-322, USDA, NOW, 2020-08-13T10:46:53.0670000, 18.00, 81.70, , 
FS-322, USDA, NOW, 2020-08-14T03:49:02.6440000, 23.95, 78.79, , 
FS-322, USDA, NOW, 2020-08-15T12:42:28.5440000, 19.19, 81.17, , 
FS-322, USDA, NOW, 2020-08-15T13:31:00.5560000, 19.21, 81.15, , 
FS-322, USDA, NOW, 2020-08-15T13:56:26.8700000, 22.45, 75.89, , 
FS-322, USDA, NOW, 2020-08-17T13:57:23.3930000, 22.48, 79.96, , 
FS-322, USDA, NOW, 2020-08-18T10:05:59.9400000, 21.12, 88.80, , 
FS-322, USDA, NOW, 2020-08-19T08:02:38.2030000, 22.58, 88.91, , 
FS-322, USDA, NOW, 2020-08-19T09:11:38.8220000, 22.16, 83.30, , 
FS-322, USDA, NOW, 2020-08-19T11:43:19.5670000, 20.40, 91.32, , 
FS-322, USDA, NOW, 2020-08-21T03:10:38.4150000, 19.81, 74.80, , 
FS-322, USDA, NOW, 2020-08-22T10:24:36.4560000, 17.88, 89.46, , 
FS-322, USDA, NOW, 2020-08-22T10:48:41.7070000, 17.96, 88.29, , 
FS-322, USDA, NOW, 2020-08-23T11:04:43.8700000, 19.78, 89.44, , 
FS-322, USDA, NOW, 2020-08-26T06:23:29.0440000, 22.72, 85.27, , 
FS-322, USDA, NOW, 2020-08-27T13:50:33.6210000, 15.38, 88.10, , 
FS-322, USDA, NOW, 2020-08-27T13:56:09.8160000, 16.00, 86.49, , 
FS-322, USDA, NOW, 2020-08-29T06:48:21.8360000, 18.81, 69.90, , 
FS-322, USDA, NOW, 2020-08-29T13:03:45.9810000, 14.75, 85.75, , 
FS-322, USDA, NOW, 2020-08-30T03:16:49.5850000, 21.49, 84.79, , 
FS-322, USDA, NOW, 2020-08-30T08:50:09.5570000, 16.71, 82.06, , 
FS-322, USDA, NOW, 2020-08-30T12:35:04.9870000, 15.59, 82.68, , 
FS-322, USDA, NOW, 2020-08-31T12:49:23.5530000, 16.27, 86.34, , 
FS-322, USDA, NOW, 2020-08-31T12:54:30.0580000, 16.17, 87.76, , 
FS-322, USDA, NOW, 2020-09-02T04:13:04.8650000, 19.14, 89.10, , 
FS-322, USDA, NOW, 2020-09-02T04:51:29.6220000, 18.66, 89.16, , 
FS-322, USDA, NOW, 2020-09-05T13:08:31.2320000, 16.22, 88.60, , 
FS-322, USDA, NOW, 2020-09-06T02:14:06.0660000, 25.03, 79.41, , 
FS-322, USDA, NOW, 2020-09-06T06:50:35.0220000, 21.04, 80.23, , 
FS-322, USDA, NOW, 2020-09-06T11:27:13.2780000, 18.99, 83.77, , 
