PlotID,Lure_type,Start_date,End_date,Count,Re_randomization
13,Phero,7/2/20,7/9/20,15,1
14,PPO,7/2/20,7/9/20,17,1
15,Peterson,7/2/20,7/9/20,0,1
21,Peterson,7/2/20,7/9/20,2,1
22,Phero,7/2/20,7/9/20,18,1
24,PPO,7/2/20,7/9/20,4,1
33,Peterson,7/2/20,7/9/20,0,1
34,Phero,7/2/20,7/9/20,69,1
35,PPO,7/2/20,7/9/20,7,1
41,Peterson,7/2/20,7/9/20,0,1
42,PPO,7/2/20,7/9/20,11,1
46,Phero,7/2/20,7/9/20,56,1
54,Phero,7/2/20,7/9/20,40,1
55,PPO,7/2/20,7/9/20,19,1
56,Peterson,7/2/20,7/9/20,0,1
61,PPO,7/2/20,7/9/20,36,1
63,Phero,7/2/20,7/9/20,62,1
64,Peterson,7/2/20,7/9/20,0,1
71,Phero,7/2/20,7/9/20,64,1
72,Peterson,7/2/20,7/9/20,0,1
76,PPO,7/2/20,7/9/20,17,1
13,Phero,7/9/20,7/10/20,0,1
14,PPO,7/9/20,7/10/20,0,1
15,Peterson,7/9/20,7/10/20,0,1
21,Peterson,7/9/20,7/10/20,0,1
22,Phero,7/9/20,7/10/20,0,1
24,PPO,7/9/20,7/10/20,1,1
33,Peterson,7/9/20,7/10/20,0,1
34,Phero,7/9/20,7/10/20,0,1
35,PPO,7/9/20,7/10/20,2,1
41,Peterson,7/9/20,7/10/20,0,1
42,PPO,7/9/20,7/10/20,1,1
46,Phero,7/9/20,7/10/20,0,1
54,Phero,7/9/20,7/10/20,0,1
55,PPO,7/9/20,7/10/20,1,1
56,Peterson,7/9/20,7/10/20,0,1
61,PPO,7/9/20,7/10/20,2,1
63,Phero,7/9/20,7/10/20,0,1
64,Peterson,7/9/20,7/10/20,0,1
71,Phero,7/9/20,7/10/20,0,1
72,Peterson,7/9/20,7/10/20,0,1
76,PPO,7/9/20,7/10/20,7,1
14,Phero,7/10/20,7/16/20,0,2
15,PPO,7/10/20,7/16/20,1,2
16,Peterson,7/10/20,7/16/20,0,2
22,Peterson,7/10/20,7/16/20,0,2
23,Phero,7/10/20,7/16/20,1,2
25,PPO,7/10/20,7/16/20,4,2
34,Peterson,7/10/20,7/16/20,0,2
35,Phero,7/10/20,7/16/20,1,2
36,PPO,7/10/20,7/16/20,5,2
41,Phero,7/10/20,7/16/20,0,2
42,Peterson,7/10/20,7/16/20,2,2
43,PPO,7/10/20,7/16/20,6,2
51,Peterson,7/10/20,7/16/20,0,2
55,Phero,7/10/20,7/16/20,0,2
56,PPO,7/10/20,7/16/20,7,2
62,PPO,7/10/20,7/16/20,10,2
64,Phero,7/10/20,7/16/20,0,2
65,Peterson,7/10/20,7/16/20,2,2
71,PPO,7/10/20,7/16/20,36,2
72,Phero,7/10/20,7/16/20,0,2
73,Peterson,7/10/20,7/16/20,2,2
14,Phero,7/16/20,7/22/20,0,2
15,PPO,7/16/20,7/22/20,6,2
16,Peterson,7/16/20,7/22/20,0,2
22,Peterson,7/16/20,7/22/20,0,2
23,Phero,7/16/20,7/22/20,1,2
25,PPO,7/16/20,7/22/20,2,2
34,Peterson,7/16/20,7/22/20,0,2
35,Phero,7/16/20,7/22/20,0,2
36,PPO,7/16/20,7/22/20,2,2
41,Phero,7/16/20,7/22/20,1,2
42,Peterson,7/16/20,7/22/20,0,2
43,PPO,7/16/20,7/22/20,6,2
51,Peterson,7/16/20,7/22/20,0,2
55,Phero,7/16/20,7/22/20,0,2
56,PPO,7/16/20,7/22/20,4,2
62,PPO,7/16/20,7/22/20,4,2
64,Phero,7/16/20,7/22/20,0,2
65,Peterson,7/16/20,7/22/20,0,2
71,PPO,7/16/20,7/22/20,19,2
72,Phero,7/16/20,7/22/20,0,2
73,Peterson,7/16/20,7/22/20,0,2
14,Phero,7/22/20,7/29/20,0,2
15,PPO,7/22/20,7/29/20,10,2
16,Peterson,7/22/20,7/29/20,0,2
22,Peterson,7/22/20,7/29/20,0,2
23,Phero,7/22/20,7/29/20,0,2
25,PPO,7/22/20,7/29/20,4,2
34,Peterson,7/22/20,7/29/20,0,2
35,Phero,7/22/20,7/29/20,0,2
36,PPO,7/22/20,7/29/20,6,2
41,Phero,7/22/20,7/29/20,0,2
42,Peterson,7/22/20,7/29/20,0,2
43,PPO,7/22/20,7/29/20,6,2
51,Peterson,7/22/20,7/29/20,0,2
55,Phero,7/22/20,7/29/20,0,2
56,PPO,7/22/20,7/29/20,7,2
62,PPO,7/22/20,7/29/20,11,2
64,Phero,7/22/20,7/29/20,0,2
65,Peterson,7/22/20,7/29/20,0,2
71,PPO,7/22/20,7/29/20,33,2
72,Phero,7/22/20,7/29/20,0,2
73,Peterson,7/22/20,7/29/20,0,2
14,Phero,7/29/20,8/6/20,0,2
15,PPO,7/29/20,8/6/20,8,2
16,Peterson,7/29/20,8/6/20,0,2
22,Peterson,7/29/20,8/6/20,0,2
23,Phero,7/29/20,8/6/20,0,2
25,PPO,7/29/20,8/6/20,0,2
34,Peterson,7/29/20,8/6/20,0,2
35,Phero,7/29/20,8/6/20,0,2
36,PPO,7/29/20,8/6/20,6,2
41,Phero,7/29/20,8/6/20,0,2
42,Peterson,7/29/20,8/6/20,0,2
43,PPO,7/29/20,8/6/20,6,2
51,Peterson,7/29/20,8/6/20,0,2
55,Phero,7/29/20,8/6/20,0,2
56,PPO,7/29/20,8/6/20,11,2
62,PPO,7/29/20,8/6/20,12,2
64,Phero,7/29/20,8/6/20,0,2
65,Peterson,7/29/20,8/6/20,0,2
71,PPO,7/29/20,8/6/20,43,2
72,Phero,7/29/20,8/6/20,0,2
